status,momentum_lookback,sma_lookback,regime_lookback,fallback_strategy,total_lookback,train_windows,train_improvement_pct,train_extra_spd_sum_vs_dca,train_win_rate_pct,train_strategy_sats,train_dca_sats,train_fallback_days,error
success,21,200,60,sma_200d_weight,281,6,4.272425380840916,2158.119729538863,83.33333333333334,52670873.89527904,50512754.16574016,35,
success,21,200,60,stacksats_mvrv_weight,281,6,4.132240553916389,2087.308512536809,83.33333333333334,52600062.678276986,50512754.16574016,35,
success,21,200,60,stacksats_momentum_weight,281,6,4.230796891071242,2137.0920328385982,83.33333333333334,52649846.19857878,50512754.16574016,35,
success,21,200,90,sma_200d_weight,311,6,3.6664695299525984,1852.0347402267216,83.33333333333334,52364788.90596689,50512754.16574016,21,
success,21,200,90,stacksats_mvrv_weight,311,6,3.498230872326591,1767.0527606883625,83.33333333333334,52279806.926428534,50512754.16574016,21,
success,21,200,90,stacksats_momentum_weight,311,6,3.568521459914531,1802.5584723983047,83.33333333333334,52315312.63813848,50512754.16574016,21,
success,21,200,120,sma_200d_weight,341,6,2.804565790966418,1416.6634234073135,83.33333333333334,51929417.589147486,50512754.16574016,11,
success,21,200,120,stacksats_mvrv_weight,341,6,2.6498719758175415,1338.5233168515551,83.33333333333334,51851277.48259173,50512754.16574016,11,
success,21,200,120,stacksats_momentum_weight,341,6,2.726998797063551,1377.4821984634036,83.33333333333334,51890236.36420359,50512754.16574016,11,
success,21,200,150,sma_200d_weight,371,6,2.0911291736131155,1056.2869387552637,83.33333333333334,51569041.10449544,50512754.16574016,10,
success,21,200,150,stacksats_mvrv_weight,371,6,1.9403571870933778,980.1278558537524,83.33333333333334,51492882.02159393,50512754.16574016,10,
success,21,200,150,stacksats_momentum_weight,371,6,2.0166248034200196,1018.6527293968902,83.33333333333334,51531406.895137064,50512754.16574016,10,
success,21,200,180,sma_200d_weight,401,6,1.9521349306427016,986.0771184990954,83.33333333333334,51498831.28423926,50512754.16574016,10,
success,21,200,180,stacksats_mvrv_weight,401,6,1.8038274283095346,911.1629144361868,83.33333333333334,51423917.08017637,50512754.16574016,10,
success,21,200,180,stacksats_momentum_weight,401,6,1.8787075759401306,948.9869393277695,83.33333333333334,51461741.10506794,50512754.16574016,10,
success,21,200,200,sma_200d_weight,421,6,1.9164635505241279,968.0585219522691,83.33333333333334,51480812.68769244,50512754.16574016,10,
success,21,200,200,stacksats_mvrv_weight,421,6,1.768526186815933,893.3312851030714,83.33333333333334,51406085.45084325,50512754.16574016,10,
success,21,200,200,stacksats_momentum_weight,421,6,1.843064220411872,930.9824987733591,83.33333333333334,51443736.66451354,50512754.16574016,10,
success,21,200,210,sma_200d_weight,431,6,1.8296181452935434,924.1905159039015,83.33333333333334,51436944.681644075,50512754.16574016,10,
success,21,200,210,stacksats_mvrv_weight,431,6,1.6816312789045496,849.4382738872446,83.33333333333334,51362192.43962742,50512754.16574016,10,
success,21,200,210,stacksats_momentum_weight,431,6,1.7562161222680173,887.1131324603339,83.33333333333334,51399867.2982005,50512754.16574016,10,
success,21,200,240,sma_200d_weight,461,6,1.849843221028391,934.4067586896854,83.33333333333334,51447160.92442985,50512754.16574016,10,
success,21,200,240,stacksats_mvrv_weight,461,6,1.7016203643293482,859.535311467851,83.33333333333334,51372289.477208026,50512754.16574016,10,
success,21,200,240,stacksats_momentum_weight,461,6,1.776441391131578,897.3294728007531,83.33333333333334,51410083.63854092,50512754.16574016,10,
success,21,200,270,sma_200d_weight,491,6,2.0916659155682193,1056.5580618995518,83.33333333333334,51569312.227639735,50512754.16574016,10,
success,21,200,270,stacksats_mvrv_weight,491,6,1.94423525770957,982.0867761304762,83.33333333333334,51494840.94187065,50512754.16574016,10,
success,21,200,270,stacksats_momentum_weight,491,6,2.0185529895478727,1019.6267093155111,83.33333333333334,51532380.875055686,50512754.16574016,10,
success,21,200,300,sma_200d_weight,521,6,2.1611587952877542,1091.6608293949757,83.33333333333334,51604414.995135136,50512754.16574016,39,
success,21,200,300,stacksats_mvrv_weight,521,6,1.9515585282459114,985.7859617733993,83.33333333333334,51498540.127513565,50512754.16574016,39,
success,21,200,300,stacksats_momentum_weight,521,6,2.0184067993164634,1019.5528646033054,83.33333333333334,51532307.03034347,50512754.16574016,39,
success,21,200,340,sma_200d_weight,561,6,7.430037945167767,3753.116801663811,83.33333333333334,54265870.967403986,50512754.16574016,33,
success,21,200,340,stacksats_mvrv_weight,561,6,7.201809027369976,3637.8320894814824,83.33333333333334,54150586.25522165,50512754.16574016,33,
success,21,200,340,stacksats_momentum_weight,561,6,7.278839838621565,3676.7424738008704,83.33333333333334,54189496.63954105,50512754.16574016,33,
